catalog_id,smiles,vendor,natural_product_like
s_527____19877254____13458604,O=C1CCC2(CN1)CN(C(=O)[C@H]1CCCO[C@@H]1C1=CC=C(Cl)C=C1Cl)C2,Enamine_REAL,false
m_282030____21919880____23157420____21960424,NC1=NNC(CCNC2=NN=C(N3C[C@@H]4C[C@H]3CO4)C3=CC=CC=C32)=N1,Enamine_REAL,false
m_282151____25175398____31329198____25260490,C[C@H]1[C@H](CN(CC2=CC=C3C=CC=CN32)C(=O)C2CCOC2)C1(F)F,Enamine_REAL,false
s_68____23319892____22165704,CC(C)(O)CN(CC1=CC=CC=C1)C(=O)N1CCC(C2=CC=C(F)C=C2)CC1,Enamine_REAL,false
m_274552____23521770____24965400____13454412,C=CCCC(NC(=O)CC1=CC=NN1C)C(=O)N1CCC(F)(C#N)C1,Enamine_REAL,false
m_282151____25188034____25187842____31257134,CN(C)C1=CN=C(CN(CC2C(C)(C)C2(C)C)C(=O)[C@H]2C[C@H](O)C2)C=N1,Enamine_REAL,false
m_274552____23520816____46203026____25067394,C[C@@H](O)C[C@H](C)NC(=O)C1=CC(CNC(=O)C2(C3(C)CC3)CC2)=NN1C,Enamine_REAL,false
m_282151____27677042____25201118____25231808,CC1=COC(C(=O)N(CC2=C(Cl)N(C)N=C2)CC2(CF)CCCOC2)=C1,Enamine_REAL,false
m_274552____23519284____24993274____15983938,O=C(C1=CC(Cl)=CC=C1)N1CC2CCC(C(=O)N3CCC(OCCF)C3)(C2)C1,Enamine_REAL,false
m_274552____23522628____25002586____15987956,CC1(C(=O)N2CCCC(CC(=O)N3CC4=CC=CC(C#N)=C4C3)C2)C=CCCC1,Enamine_REAL,false
m_2430____22525210____22581406,C[C@H](NC(=O)NC1=NN=C(C(=O)N2CCCC2)S1)C1CCC(F)(F)CC1,Enamine_REAL,false
m_280530____18857732____18862148____18865160,CC(=O)NCC(C)(C)CN(C)S(=O)(=O)C1=CN=C(NCCC2CCCN2C)C=C1C,Enamine_REAL,false
m_282156____27659318____27574344____27624832,CC1=NOC(CN(CC2=CC=NC(NC3CC3)=C2)C(=O)NC2=C(C)SC=C2)=C1,Enamine_REAL,false
m_274552____23521598____15961338____15980878,CC(NC(=O)[C@H]1C[C@H]1CNC(=O)C1=CC=C(CO)C=C1)C1(CO)CC1,Enamine_REAL,true
m_274552____23520114____13185806____25050684,CC=CCC(CO)NC(=O)[C@H]1[C@H]2CC[C@H](C2)N1C(=O)C1=NC(C)=CC=C1F,Enamine_REAL,false
m_275592____75591008____14138782____25324322,C#CCC1(C(=O)NC[C@H]2CCC[C@@H](NC(=O)C(CC(=C)C)OC)C2)CCC1,Enamine_REAL,true
m_2708____25519970____9045070,C[C@@H]1CC[C@H](NC(=O)N2CCCC(OCC3CC3)C2)CS1(=O)=O,Enamine_REAL,false
m_280710____31589120____44051014____31723528,COC(C(=O)NCC1(O)CCCOC1)C(=O)NC1CCC=CCC1,Enamine_REAL,true
m_188690____7326408____21770520,CCCCC[C@H]1CC[C@@H](C(=O)NC(C)(C)C(=O)O)O1,Enamine_REAL,true
m_282490____23957162____23972984____23981218,CSC1CCN(C(C(=O)NCCC2(C)CC2)C2=CN(C3=CC=CC=N3)N=C2)CC1,Enamine_REAL,false
s_527____1161060____22537806,CCOCC1=CC=CC(CNC(=O)C2(C3CCCO3)CCC(=O)CC2)=C1,Enamine_REAL,true
m_276450____27871056____27811150____14214556,CC1=NOC2=NC=NC(NC3CC3CNC(=O)CN3CC4=CC=CC=C4C3)=C12,Enamine_REAL,false
m_275592____15865174____14140386____15859936,C=C1CCC(C(=O)NC[C@H]2CN(C(=O)C(O)CC3CCCCC3)C[C@H]2O)CC1,Enamine_REAL,true
m_275592____25037084____14139542____46299050,COCC1(C(=O)N[C@@H]2COC[C@H]2NC(=O)C[C@@H](C)OC)CCC1,Enamine_REAL,true
m_280710____31601678____31665122____31739064,C=C(CC(=O)N[C@H](CO)CC1CC1)C(=O)N1CCCC(C(C)C)C1,Enamine_REAL,true
m_280710____31585116____31670970____31740442,CC1(C(=O)NN2CCC(O)CC2)CCCN1C(=O)[C@@H]1CC(=O)CC(=O)N1,Enamine_REAL,true
m_282490____23964568____23975734____23971832,CCNC(=O)C(C1=CC(C2CC2)=NS1)N1CCC12CC(COC)C2,Enamine_REAL,false
m_275592____18896298____14141436____15858392,CC1=NOC(CC(=O)N2CC[C@@H](NC(=O)CC3=CN(C)N=C3C)[C@H](F)C2)=C1,Enamine_REAL,false
m_240690____21479102____19727920,O=C(NCC1COCC2(CNC2)O1)C1(N2CCNCC2)CCCC1,Enamine_REAL,false
m_280710____31608748____31665362____31732666,CCN1CC(NC(=O)[C@H]2C[C@@H]2C(C)(C)C(=O)NC23CCC(CC2)CC3)C1,Enamine_REAL,false
m_282512____24321822____24220698,COC(=O)C(C)OC1=CC=C(N2C=C(C3CC=CCC3)N=N2)C=C1F,Enamine_REAL,false
s_2718____9457944____9173912,O=C(NC1=CC=C(N2CC3CCC(C2)O3)C=C1)C(=O)N1CC(=O)N(C2CC2)C1,Enamine_REAL,false
m_280710____44003072____31665078____31933856,C[C@@H]1CCC[C@@H](C)N1C(=O)CC(=O)NC(C1CC1)C(C)(C)O,Enamine_REAL,false
m_274552____23520288____24966270____25040808,C#CC1(C(=O)NCC2(C(N)=O)CC2)CN(C(=O)C2CC3(CC(=O)C3)C2)C1,Enamine_REAL,true
m_280710____31585410____31681820____31744848,CC=C(CC)C(=O)N[C@@H](CO)C(=O)N[C@@H]1CN2CCC1CC2,Enamine_REAL,true
m_282151____27614994____25194632____25256016,C=C(C)C(=O)N(CC1=CC=C(CCF)C=C1)CC1=CSC=N1,Enamine_REAL,false
m_275592____19666570____15845160____15856532,C=CCC1=CC=CC=C1C(=O)N(C)C[C@H](C)NC(=O)C1=CC(SC)=CC=C1,Enamine_REAL,false
m_280710____43757014____31693466____31807230,CCCCOCC(=O)N1CC(O)(CC(=O)NC[C@@H]2[C@H]3CCCO[C@H]32)C1,Enamine_REAL,true
m_282155____26918608____26912006____26905130,CCCN1N=C(C)C=C1CN(CC1=CN(C(C)C)C=N1)CC1=NN(C)C(C)=C1,Enamine_REAL,false
m_274552____24795126____15958372____15982860,C=C(CNC(=O)[C@H]1C[C@@](C)(NC(=O)[C@@H]2CC[C@H]3C[C@@H]2CO3)C1)C1=CC=CC=C1,Enamine_REAL,true
m_280710____31602272____44051008____31725722,CC1CC(CNC(=O)[C@H]2[C@@H](C(=O)N3CC(OC(N)=O)C3)C2(C)C)C1,Enamine_REAL,true
m_280710____43753024____31671574____31739734,O=C(CCCC1=CC=CO1)N[C@H]1CC[C@@H](C(=O)NCC2=CC=C(F)N=C2)C1,Enamine_REAL,false
s_271948____21047616____22443454,CC1=CC=C(CCCNC(=O)C(=O)N2CCC(N3CCCOCC3)C2)C=C1,Enamine_REAL,false
